app_text_submit,Submit
app_text_msg_forget_password,Enter the e-mail address associated with your account. Click submit to have your password e-mailed to you.
app_text_enter_your_email,Enter your email
app_text_reset_password,Reset Password
app_text_view_selected_filter,You can view your selected filter result by clicking on this image!
app_text_clear_selected_filter,You can clear the applied filter by clicking on this image!
app_text_no_filter,No filters
app_text_phone_number_required,*You must register at least one phone number
app_text_refresh,Refresh
app_text_internet_connection_failed,Internet Connection Failed!
app_text_internet_connection_problem,There might be some problem with your internet connection. Please check.
app_text_cancel_transaction,Cancel transaction
app_text_middle_of_payment,You are in the middle of your payment transaction process. Do you really want cancel your transaction?
app_text_yes,Yes
app_text_no,No
app_text_enter_your_comment,Enter your comment
app_text_msg_shipping_methods_unavailable,"For some product(s), shipping methods are not available. Please remove such product(s) from cart and try again."
app_text_msg_select_shipping_methods,Please select shipping method
app_text_share_log,Share Log
app_text_error_minimum_value,Enter value greater than 0
app_text_payment_failed_contact_support,Your order could not be processed. Kindly contact support for any queries
app_text_currency,Currency(s)
app_text_choose_payment_method,Choose Payment Method
app_text_no_payment_method,No Payment Method(s) Found!
app_text_no_payment_currently,There are no payment method currently.
app_text_no_make_payment,You won\'t be able to make payment as this mobile App is setup for demo purpose.
app_text_make_payment_after_select,You can make payment after selecting any payment method!
app_text_title_paypal_payment,PayPal Payment
app_text_order_total_price,Order Total Price
app_text_user_cancelled_the_payment,User cancelled the payment
app_text_invalid_payment_try_again,Invalid payment. Kindly try again
app_text_text_skip,Skip
app_text_wishlist_item_removed,Item removed from wishlist.
app_text_wishlist_item_added,Item Added to Wishlist
app_text_subject,Hey Check this out!
app_text_text_extra_share,Available here :
app_text_share_intent_title,Share
app_text_error_product_name_url,The product name or url may be empty.
app_text_tag_error,Error
app_text_demo_app_user_form,Please fill the details!
app_text_full_name_demo_app_user,Your Name*
app_text_email_demo_app_user,Email*
app_text_store_url_demo_app_user,Store Url*
app_text_continue_demo_app_user_form,Continue
app_text_invalid_url,Invalid Store URL!
app_text_invalid_email,Invalid Email!
app_text_sellers,Sellers
app_text_seller,Seller
app_text_seller_shipping_policy,Shipping Policy
app_text_seller_return_policy,Return Policy
app_text_review_title,Title *
app_text_review_comment,Comment *
app_text_review_rating,Rating *
app_text_filter_products,Filter Product(s)
app_text_select_category,Select Category
app_text_select_sort,Select Sort
app_text_clear,Clear
app_text_edit,Edit
app_text_cart,Cart
app_text_move_to_cart,Move to Cart
app_text_no_shipping_method_available,No Shipping Method Available
app_text_module_not_installed,Please contact your site administrator to view data on this page.
app_text_no_data_found,No Data Found!
app_text_enter_coupon_code,Enter coupon code
app_text_apply_coupon,Apply Coupon
app_text_add_more_in_cart,Add more in cart to place this order
app_text_shipping_details,Shipping Details
app_text_choose_app_theme,Choose Your App Theme
app_text_enter_store_url,Enter your store URL
app_text_sample_store_url,Ex: http://your_store.com/
app_text_downloads,Downloads
app_text_done,Done
app_text_posted_on,Posted On:
app_text_commented_by,Commented By:
app_text_seller_comment,Comment:
app_text_open,Open
app_text_order_status,Open
app_text_special_products,Special Products
app_text_product_information,Product Information
app_text_featured_products,Feature Products
